scene,video,frame,layer,bf16_fp32_max_abs,bf16_fp32_mean_abs,bf16_fp32_cosine_mean,compile_fp32_max_abs,compile_fp32_mean_abs,compile_fp32_cosine_mean,compile_bf16_max_abs,compile_bf16_mean_abs,compile_bf16_cosine_mean
R03,01,0,2,0.008720872923731804,0.0003713276528287679,0.00010229348845314234,0.009225919842720032,0.00037145050009712577,0.00010253521031700075,0.0067549049854278564,3.878183269989677e-05,3.81983227271121e-06
R03,01,0,3,0.007422212511301041,0.0003664592222776264,9.282625978812575e-05,0.007428795099258423,0.000366143329301849,9.274060721509159e-05,0.003439575433731079,0.00010440607002237812,1.045575481839478e-05
R03,01,0,4,0.00727097038179636,0.000456500391010195,0.00014199825818650424,0.010322360321879387,0.00045450282050296664,0.0001406775991199538,0.0030559413135051727,0.000172811807715334,2.266443698317744e-05
R03,01,0,5,0.006635032594203949,0.0005152528756298125,0.00017593750089872628,0.006955279037356377,0.0005167353665456176,0.0001763103500707075,0.003777146339416504,0.00022913921566214412,3.622605072450824e-05
R03,01,0,6,0.00967445969581604,0.0005394095787778497,0.00019279627304058522,0.007941339164972305,0.0005398113280534744,0.0001925882970681414,0.00530424527823925,0.0002636841090861708,4.7243742301361635e-05
R03,01,0,7,0.010425671935081482,0.0005609363433904946,0.00021104207553435117,0.010617807507514954,0.0005565369501709938,0.00020675676933024079,0.00641024112701416,0.0002983745071105659,5.9278561820974573e-05
R03,01,0,8,0.012951936572790146,0.0006006245384924114,0.00025621947133913636,0.013051837682723999,0.0005977262044325471,0.00025454116985201836,0.008789010345935822,0.0003345352888572961,7.458007894456387e-05
R03,01,0,9,0.024560987949371338,0.0006415761890821159,0.00031277217203751206,0.04251891374588013,0.000643590115942061,0.00032711855601519346,0.01795792579650879,0.00036917554098181427,9.374637011205778e-05
R03,01,0,10,0.022161126136779785,0.0006376581150107086,0.0003057696158066392,0.03475290536880493,0.0006403465522453189,0.0003116523439530283,0.012591779232025146,0.00037962154601700604,9.937689901562408e-05
R03,01,0,11,0.021215051412582397,0.0006861785659566522,0.00038984831189736724,0.03538644313812256,0.0006888168281875551,0.00039342843228951097,0.015606403350830078,0.00041716493433341384,0.00012336969666648656
