layer,M,N,K,kind,regime,repeat,us,calls_per_event
qkv,16,2304,768,predequant_gemm,warm,0,5.801000166684389,32
qkv,16,2304,768,packed_int4,warm,0,9.908000007271767,32
qkv,16,2304,768,native_int4,warm,0,8.376999758183956,32
qkv,16,2304,768,bf16,warm,0,4.242999944835901,32
qkv,16,2304,768,fused_int4,warm,0,14.853999949991703,32
qkv,16,2304,768,dequant_only,warm,0,4.317000042647123,32
qkv,16,2304,768,fused_int4,warm,1,14.530000276863575,32
qkv,16,2304,768,predequant_gemm,warm,1,4.954000003635883,32
qkv,16,2304,768,packed_int4,warm,1,8.40499997138977,32
qkv,16,2304,768,dequant_only,warm,1,3.7789999041706324,32
qkv,16,2304,768,native_int4,warm,1,7.151000201702118,32
qkv,16,2304,768,bf16,warm,1,3.5830000415444374,32
qkv,16,2304,768,bf16,warm,2,3.5329998936504126,32
qkv,16,2304,768,dequant_only,warm,2,3.7070000544190407,32
qkv,16,2304,768,fused_int4,warm,2,14.701999723911285,32
qkv,16,2304,768,packed_int4,warm,2,8.409000001847744,32
qkv,16,2304,768,predequant_gemm,warm,2,4.960999824106693,32
qkv,16,2304,768,native_int4,warm,2,7.087999954819679,32
qkv,16,2304,768,native_int4,warm,3,6.959000136703253,32
qkv,16,2304,768,bf16,warm,3,3.5600000992417336,32
qkv,16,2304,768,packed_int4,warm,3,8.377999998629093,32
qkv,16,2304,768,dequant_only,warm,3,3.717999905347824,32
qkv,16,2304,768,fused_int4,warm,3,14.554000459611416,32
qkv,16,2304,768,predequant_gemm,warm,3,4.95699979364872,32
qkv,16,2304,768,dequant_only,warm,4,3.6830001045018435,32
qkv,16,2304,768,fused_int4,warm,4,14.574999921023846,32
qkv,16,2304,768,bf16,warm,4,3.5689999349415302,32
qkv,16,2304,768,packed_int4,warm,4,8.406000211834908,32
qkv,16,2304,768,native_int4,warm,4,6.943999789655209,32
qkv,16,2304,768,predequant_gemm,warm,4,4.954999778419733,32
qkv,16,2304,768,fused_int4,warm,5,14.554999768733978,32
qkv,16,2304,768,dequant_only,warm,5,3.67900007404387,32
qkv,16,2304,768,native_int4,warm,5,6.940000224858522,32
qkv,16,2304,768,predequant_gemm,warm,5,4.883000161498785,32
qkv,16,2304,768,packed_int4,warm,5,8.337999694049358,32
qkv,16,2304,768,bf16,warm,5,3.5250000655651093,32
qkv,16,2304,768,fused_int4,warm,6,14.531999826431274,32
qkv,16,2304,768,dequant_only,warm,6,3.667999990284443,32
qkv,16,2304,768,native_int4,warm,6,6.901000160723925,32
qkv,16,2304,768,bf16,warm,6,3.524000057950616,32
qkv,16,2304,768,predequant_gemm,warm,6,4.927000030875206,32
qkv,16,2304,768,packed_int4,warm,6,8.27299989759922,32
qkv,16,2304,768,native_int4,eviction_attempt,0,12.28800043463707,1
qkv,16,2304,768,dequant_only,eviction_attempt,0,6.175999995321035,1
qkv,16,2304,768,bf16,eviction_attempt,0,12.28800043463707,1
qkv,16,2304,768,packed_int4,eviction_attempt,0,12.28800043463707,1
qkv,16,2304,768,predequant_gemm,eviction_attempt,0,10.239999741315842,1
qkv,16,2304,768,fused_int4,eviction_attempt,0,18.432000651955605,1
qkv,16,2304,768,bf16,eviction_attempt,1,10.239999741315842,1
qkv,16,2304,768,predequant_gemm,eviction_attempt,1,10.239999741315842,1
qkv,16,2304,768,dequant_only,eviction_attempt,1,6.144000217318535,1
qkv,16,2304,768,packed_int4,eviction_attempt,1,12.28800043463707,1
qkv,16,2304,768,native_int4,eviction_attempt,1,12.28800043463707,1
qkv,16,2304,768,fused_int4,eviction_attempt,1,18.432000651955605,1
qkv,16,2304,768,predequant_gemm,eviction_attempt,2,10.239999741315842,1
qkv,16,2304,768,native_int4,eviction_attempt,2,12.28800043463707,1
qkv,16,2304,768,packed_int4,eviction_attempt,2,14.336000196635723,1
qkv,16,2304,768,bf16,eviction_attempt,2,10.239999741315842,1
qkv,16,2304,768,dequant_only,eviction_attempt,2,6.175999995321035,1
qkv,16,2304,768,fused_int4,eviction_attempt,2,18.432000651955605,1
qkv,16,2304,768,dequant_only,eviction_attempt,3,6.175999995321035,1
