layer,M,kind,regime,median_us,mean_us,min_us,max_us,rounds
proj,325,fused_int4,warm,14.825999736785889,14.88928563360657,14.797000214457512,15.254000201821327,7
proj,325,fused_int4,eviction_attempt,20.479999482631683,19.795809473310197,18.432000651955605,22.495999932289124,21
fc1,1,bf16,warm,5.140999797731638,5.227285636855023,5.0479997880756855,5.840000230818987,7
fc1,1,bf16,eviction_attempt,12.28800043463707,11.294476288769927,9.855999611318111,12.28800043463707,21
fc1,1,native_int4,warm,5.260999780148268,5.42385716523443,4.81100007891655,6.7460001446306705,7
fc1,1,native_int4,eviction_attempt,10.239999741315842,10.852571443787642,9.824000298976898,12.28800043463707,21
fc1,1,packed_int4,warm,9.197999723255634,9.302571548947267,8.78200028091669,10.285000316798687,7
fc1,1,packed_int4,eviction_attempt,14.336000196635723,13.456762191795168,12.28800043463707,14.336000196635723,21
fc1,1,dequant_only,warm,4.532000049948692,4.615857199366603,4.515000153332949,5.109000019729137,7
fc1,1,dequant_only,eviction_attempt,8.191999979317188,7.80799998236554,6.175999995321035,8.191999979317188,21
fc1,1,predequant_gemm,warm,5.034000147134066,5.110714251973799,4.939999897032976,5.667000077664852,7
fc1,1,predequant_gemm,eviction_attempt,12.28800043463707,11.410285851785115,10.239999741315842,12.28800043463707,21
fc1,1,fused_int4,warm,14.495999552309513,14.556000009179115,14.430999755859375,14.832000248134136,7
